id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/zuikvc/kiauliu_laikytojai,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,,,,,,,,
,,kl,,,,csv,,{dist.dowload_url},tabular(sep: ';'),,,,,
,,,,,,comment,type,,"create(type: ""param"", ref: ""dist"", source: ""/datasets/gov/ivpk/adp/catalog/DatasetDistribution"")",4,open,spinta:210,,
,,,,,,,,,,,,,,
,,,,KiauliuLaikytojas,,,savivaldybe,,,2,,,Kiaulių laikytojų ir kiaulių skaičius pagal ūkių dydį,
,,,,,savivaldybe,string,,Gyvūno bandos savivaldybės pavadinimas,,2,open,,Savivaldybės pavadinimas,
,,,,,,comment,type,,"create(property: ""savivaldybe"", type: ""ref"", ref: ""/datasets/gov/rc/ar/savivaldybe/Savivaldybe"")",2,open,,,
,,,,,,comment,type,,"update(property: ""savivaldybe.pavadinimas"", type: """")",2,open,spinta:216,,
,,,,,laikytoju_1_10_kiauliu_sk,integer,U,Laikytojų skaičius kai kiaulių nuo 1 iki 10,,4,open,,"Asmenų, kurie laiko nuo 1 iki 10 kiaulių skaičius",
,,,,,kiauliu_1_10_sk,integer,U,Kiaulių skaičius nuo 1 iki 10,,4,open,,"Kiaulių, kurios laikomos pas asmenis, kurie laiko nuo 1 iki 10 kiaulių, skaičius",
,,,,,laikytoju_11_100_kiauliu_sk,integer,U,Laikytojų skaičius kai kiaulių nuo 11 iki 100,,4,open,,"Asmenų, kurie laiko nuo 11 iki 100 kiaulių skaičius",
,,,,,kiauliu_11_100_sk,integer,U,Kiaulių skaičius nuo 11 iki 100,,4,open,,"Kiaulių, kurios laikomos pas asmenis, kurie laiko nuo 11 iki 100 kiaulių, skaičius",
,,,,,laikytoju_101_500_kiauliu_sk,integer,U,Laikytojų skaičius kai kiaulių nuo 101 iki 500,,4,open,,"Asmenų, kurie laiko nuo 100 iki 500 kiaulių skaičius",
,,,,,kiauliu_101_500_sk,integer,U,Kiaulių skaičius nuo 101 iki 500,,4,open,,"Kiaulių, kurios laikomos pas asmenis, kurie laiko nuo 100 iki 500 kiaulių, skaičius",
,,,,,laikytoju_501_1000_kiauliu_sk,integer,U,Laikytojų skaičius kai kiaulių nuo 500 iki 1000,,4,open,,"Asmenų, kurie laiko nuo 501 iki 1000 kiaulių skaičius",
,,,,,kiauliu_501_1000_sk,integer,U,Kiaulių skaičius nuo 500 iki 1000,,4,open,,"Kiaulių, kurios laikomos pas asmenis, kurie laiko nuo 501 iki 1000 kiaulių, skaičius",
,,,,,laikytoju_virs_1000_kiauliu_sk,integer,U,Laikytojų skaičius kai kiaulių virš 1000,,4,open,,"Asmenų, kurie laiko nuo 1001 kiaulių skaičius",
,,,,,kiauliu_virs_1000_sk,integer,U,Kiaulių skaičius virš 1000,,4,open,,"Kiaulių, kurios laikomos pas asmenis, kurie laiko nuo 1001 kiaulių, skaičius",
,,,,,kiauliu_laikytoju_sk,integer,U,Laikytojų skaičiaus suma,,4,open,,Kiaulių laikytojų skaičius,
,,,,,kiauliu_sk,integer,U,Kiaulių skaičiaus suma,,4,open,,Kiaulių skaičius,
